event,producer,consumers,payload,business_significance
AIModelChanged,AI Academic Intelligence,Academic Intelligence; Academic Operations; Audit & Compliance,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,Notifies dependent domains that a material policy or state has changed.
AIIncidentDetected,AI Academic Intelligence,Academic Intelligence; Academic Operations; Audit & Compliance,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,"Identifies an explainable risk, gap, incident or milestone requiring evaluation."
SuccessRiskDetected,Student Success,Academic Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Identifies an explainable risk, gap, incident or milestone requiring evaluation."
InterventionCaseOpened,Student Success,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Student Success fact so dependent domains can react without direct database coupling.
InterventionAssigned,Student Success,Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Creates a scoped responsibility, entitlement or planned activity."
StudentContacted,Student Success,Academic Intelligence; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studentRelationshipId; personId; academyId; state?,Communicates a material Student Success fact so dependent domains can react without direct database coupling.
InterventionResolved,Student Success,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Student Success fact so dependent domains can react without direct database coupling.
InterventionEscalated,Student Success,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Student Success fact so dependent domains can react without direct database coupling.
AchievementAwarded,Achievement & Milestones,Academic Intelligence; Communication; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; achievementDefinitionId; awardId?; journeyId; qualifyingEvidence,Communicates a material Achievement & Milestones fact so dependent domains can react without direct database coupling.
AchievementRevoked,Achievement & Milestones,Academic Intelligence; Communication; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; achievementDefinitionId; awardId?; journeyId; qualifyingEvidence,Removes an entitlement or permission and requires downstream access refresh.
MilestoneReached,Achievement & Milestones,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Achievement & Milestones fact so dependent domains can react without direct database coupling.
ItemStatisticsUpdated,Psychometrics & Item Quality,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Signals a material derived or business-state change requiring dependent projections to refresh.
QualityIssueDetected,Psychometrics & Item Quality,Academic Publishing; Question Bank,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Identifies an explainable risk, gap, incident or milestone requiring evaluation."
PilotAnalysisCompleted,Psychometrics & Item Quality,Question Bank,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
ItemRetirementRecommended,Psychometrics & Item Quality,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Psychometrics & Item Quality fact so dependent domains can react without direct database coupling.
FormReliabilityCalculated,Psychometrics & Item Quality,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Psychometrics & Item Quality fact so dependent domains can react without direct database coupling.
MetricCalculated,Academic Intelligence,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Academic Intelligence fact so dependent domains can react without direct database coupling.
AcademicInsightDetected,Academic Intelligence,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Identifies an explainable risk, gap, incident or milestone requiring evaluation."
ReportGenerated,Academic Intelligence,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Produces a governed derived object that must retain its policy and evidence provenance.
ExportCompleted,Academic Intelligence,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
AcademicTaskAssigned,Academic Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Creates a scoped responsibility, entitlement or planned activity."
AcademicTaskCompleted,Academic Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
IncidentEscalated,Academic Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Academic Operations fact so dependent domains can react without direct database coupling.
SLAExceeded,Academic Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Academic Operations fact so dependent domains can react without direct database coupling.
AnnouncementPublished,Communication,Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Makes an approved immutable version eligible for governed use.
NotificationQueued,Communication,Academic Intelligence; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Communication fact so dependent domains can react without direct database coupling.
NotificationDelivered,Communication,Academic Intelligence; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Communication fact so dependent domains can react without direct database coupling.
NotificationFailed,Communication,Academic Intelligence; Academic Operations; Audit & Compliance; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,"Records a failed operation for retry, review, alerting and audit."
PreferenceChanged,Communication,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Notifies dependent domains that a material policy or state has changed.
AuditRecordCreated,Audit & Compliance,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Establishes a new canonical business object for downstream workflows.
ComplianceHoldApplied,Audit & Compliance,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Audit & Compliance fact so dependent domains can react without direct database coupling.
SecurityEventDetected,Audit & Compliance,Communication; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Identifies an explainable risk, gap, incident or milestone requiring evaluation."
AuditExportCompleted,Audit & Compliance,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
ExternalRecordMapped,Integration,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Integration fact so dependent domains can react without direct database coupling.
WebhookAccepted,Integration,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Integration fact so dependent domains can react without direct database coupling.
IntegrationFailed,Integration,Academic Intelligence; Academic Operations; Audit & Compliance,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,"Records a failed operation for retry, review, alerting and audit."
ReconciliationCompleted,Integration,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
FeatureChanged,Platform Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Notifies dependent domains that a material policy or state has changed.
ServiceDegraded,Platform Operations,Academic Evidence; Communication; Exam Readiness; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; gradeRunId?; gradeDecisionId?; submissionId; scoreSummary; rubricVersionId; confidence?,Communicates a material Platform Operations fact so dependent domains can react without direct database coupling.
ServiceRecovered,Platform Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Platform Operations fact so dependent domains can react without direct database coupling.
BackupCompleted,Platform Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
RestoreTestCompleted,Platform Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
CapacityThresholdReached,Platform Operations,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Platform Operations fact so dependent domains can react without direct database coupling.
FileUploadAuthorized,File & Media,Audit & Compliance; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; fileAssetId; storageObjectId; hash; mediaType; scanState,Communicates a material File & Media fact so dependent domains can react without direct database coupling.
AssetApproved,File & Media,Audit & Compliance; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; fileAssetId; storageObjectId; hash; mediaType; scanState,Confirms an authorized quality or governance gate has passed.
AssetQuarantined,File & Media,Audit & Compliance; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; fileAssetId; storageObjectId; hash; mediaType; scanState,Communicates a material File & Media fact so dependent domains can react without direct database coupling.
AssetSuperseded,File & Media,Audit & Compliance; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; fileAssetId; storageObjectId; hash; mediaType; scanState,Communicates a material File & Media fact so dependent domains can react without direct database coupling.
AssetRetired,File & Media,Audit & Compliance; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; fileAssetId; storageObjectId; hash; mediaType; scanState,Ends normal future use while retaining historical resolvability.
AssetDisposed,File & Media,Audit & Compliance; Platform Operations,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; fileAssetId; storageObjectId; hash; mediaType; scanState,Communicates a material File & Media fact so dependent domains can react without direct database coupling.
